model_type,train_size,AUC,hyperparam_combo,replicate_id
ANN,1853,0.88,blosum_5_0.05,1
ANN,1853,0.90,blosum_5_0.05,2
ANN,1853,0.90,blosum_5_0.05,3
ANN,1853,0.91,blosum_5_0.05,4
ANN,1853,0.89,blosum_5_0.1,1
ANN,1853,0.89,blosum_5_0.1,2
ANN,1853,0.91,blosum_5_0.1,3
ANN,1853,0.91,blosum_5_0.1,4
ANN,867,0.86,blosum_5_0.05,1
ANN,867,0.85,blosum_5_0.05,2
ANN,867,0.86,blosum_5_0.05,3
ANN,867,0.86,blosum_5_0.05,4
ANN,867,0.86,blosum_5_0.1,1
ANN,867,0.85,blosum_5_0.1,2
ANN,867,0.85,blosum_5_0.1,3
ANN,867,0.86,blosum_5_0.1,4
ANN,1191,0.89,blosum_5_0.05,1
ANN,1191,0.89,blosum_5_0.05,2
ANN,1191,0.90,blosum_5_0.05,3
ANN,1191,0.89,blosum_5_0.05,4
ANN,1191,0.90,blosum_5_0.1,1
ANN,1191,0.89,blosum_5_0.1,2
ANN,1191,0.90,blosum_5_0.1,3
ANN,1191,0.89,blosum_5_0.1,4
ANN,401,0.95,blosum_5_0.05,1
ANN,401,0.91,blosum_5_0.05,2
ANN,401,0.92,blosum_5_0.05,3
ANN,401,0.94,blosum_5_0.05,4
ANN,401,0.95,blosum_5_0.1,1
ANN,401,0.90,blosum_5_0.1,2
ANN,401,0.91,blosum_5_0.1,3
ANN,401,0.91,blosum_5_0.1,4
ANN,756,0.94,blosum_5_0.05,1
ANN,756,0.93,blosum_5_0.05,2
ANN,756,0.94,blosum_5_0.05,3
ANN,756,0.94,blosum_5_0.05,4
ANN,756,0.90,blosum_5_0.1,1
ANN,756,0.93,blosum_5_0.1,2
ANN,756,0.94,blosum_5_0.1,3
ANN,756,0.94,blosum_5_0.1,4
ANN,586,0.88,blosum_5_0.05,1
ANN,586,0.88,blosum_5_0.05,2
ANN,586,0.87,blosum_5_0.05,3
ANN,586,0.89,blosum_5_0.05,4
ANN,586,0.87,blosum_5_0.1,1
ANN,586,0.87,blosum_5_0.1,2
ANN,586,0.86,blosum_5_0.1,3
ANN,586,0.89,blosum_5_0.1,4
ANN,153,0.91,blosum_5_0.05,1
ANN,153,0.86,blosum_5_0.05,2
ANN,153,0.90,blosum_5_0.05,3
ANN,153,0.93,blosum_5_0.05,4
ANN,153,0.90,blosum_5_0.1,1
ANN,153,0.86,blosum_5_0.1,2
ANN,153,0.90,blosum_5_0.1,3
ANN,153,0.94,blosum_5_0.1,4
ANN,35,0.95,blosum_5_0.05,1
ANN,35,0.85,blosum_5_0.05,2
ANN,35,0.80,blosum_5_0.05,3
ANN,35,0.95,blosum_5_0.05,4
ANN,35,1.00,blosum_5_0.1,1
ANN,35,1.00,blosum_5_0.1,2
ANN,35,0.85,blosum_5_0.1,3
ANN,35,1.00,blosum_5_0.1,4
