model_type,allele,train_size,PCC,approach,temp,lambda
SMM,A0201,1853,0.76853,GD,,0
SMM,A0201,1853,0.76858,GD,,0.001
SMM,A0201,1853,0.76883,GD,,0.02
SMM,A0201,1853,0.76852,GD,,0.1
SMM,A0201,1853,0.71129,MC,20,0.1
SMM,A0201,1853,0.78587,MC,100,0.1
SMM,A0201,1853,0.71738,MC,20,0.001
SMM,A0201,1853,0.78799,MC,100,0.001
SMM,A0202,867,0.76145,GD,,0
SMM,A0202,867,0.76188,GD,,0.001
SMM,A0202,867,0.76327,GD,,0.02
SMM,A0202,867,0.76148,GD,,0.1
SMM,A0202,867,0.62561,MC,20,0.1
SMM,A0202,867,0.67864,MC,100,0.1
SMM,A0202,867,0.63102,MC,20,0.001
SMM,A0202,867,0.67982,MC,100,0.001
SMM,A1101,1191,0.74234,GD,,0
SMM,A1101,1191,0.74246,GD,,0.001
SMM,A1101,1191,0.74285,GD,,0.02
SMM,A1101,1191,0.74236,GD,,0.1
SMM,A1101,1191,0.62139,MC,20,0.1
SMM,A1101,1191,0.73102,MC,100,0.1
SMM,A1101,1191,0.63198,MC,20,0.001
SMM,A1101,1191,0.72775,MC,100,0.001
SMM,A3001,401,0.59011,GD,,0
SMM,A3001,401,0.59183,GD,,0.001
SMM,A3001,401,0.59780,GD,,0.02
SMM,A3001,401,0.59019,GD,,0.1
SMM,A3001,401,0.27029,MC,20,0.1
SMM,A3001,401,0.43904,MC,100,0.1
SMM,A3001,401,0.26413,MC,20,0.001
SMM,A3001,401,0.40447,MC,100,0.001
SMM,B0702,756,0.68538,GD,,0
SMM,B0702,756,0.68574,GD,,0.001
SMM,B0702,756,0.68706,GD,,0.02
SMM,B0702,756,0.68539,GD,,0.1
SMM,B0702,756,0.54185,MC,20,0.1
SMM,B0702,756,0.61482,MC,100,0.1
SMM,B0702,756,0.51908,MC,20,0.001
SMM,B0702,756,0.60973,MC,100,0.001
SMM,B1501,586,0.62187,GD,,0
SMM,B1501,586,0.62242,GD,,0.001
SMM,B1501,586,0.62415,GD,,0.02
SMM,B1501,586,0.62189,GD,,0.1
SMM,B1501,586,0.36944,MC,20,0.1
SMM,B1501,586,0.43573,MC,100,0.1
SMM,B1501,586,0.37777,MC,20,0.001
SMM,B1501,586,0.39604,MC,100,0.001
SMM,B5401,153,0.46447,GD,,0
SMM,B5401,153,0.47939,GD,,0.001
SMM,B5401,153,0.52540,GD,,0.02
SMM,B5401,153,0.46522,GD,,0.1
SMM,B5401,153,0.20660,MC,20,0.1
SMM,B5401,153,0.26625,MC,100,0.1
SMM,B5401,153,0.21742,MC,20,0.001
SMM,B5401,153,0.18840,MC,100,0.001
SMM,B5701,35,-0.23834,GD,,0
SMM,B5701,35,-0.19329,GD,,0.001
SMM,B5701,35,-0.02667,GD,,0.02
SMM,B5701,35,-0.23607,GD,,0.1
SMM,B5701,35,-0.52170,MC,20,0.1
SMM,B5701,35,-0.55476,MC,100,0.1
SMM,B5701,35,-0.62756,MC,20,0.001
SMM,B5701,35,-0.46203,MC,100,0.001
